"_real,_time","_totl,_time",missn_time,"timer,_time","_zulu,_time","local,_time","hobbs,_time","_Vind,_kias","_Vind,_keas","Vtrue,_ktas","Vtrue,_ktgs","_Vind,__mph","Vtrue,mphas","Vtrue,mphgs","_Mach,ratio","__VVI,__fpm","Gload,norml","Gload,axial","Gload,_side","alpha,__deg",_beta__deg,"hpath,_true","vpath,__deg","_slip,__deg","pitch,__deg","_roll,__deg","hding,_true","hding,__mag","mavar,__deg","__mag,_comp","__lat,__deg","__lon,__deg","___CG,ftMSL","_gear,ftagl","terrn,ftMSL","p-alt,ftMSL","__lat,orign","__lon,orign","thro1,engin"
83.18819,1496.57263,7.2234,0,11.21566,16.71566,3.80338,156.06483,155.60063,200.41867,200.41187,179.59621,230.6377,230.62987,0.32155,157.56519,1.00793,0.06289,-0.0013,3.54615,-0.10547,174.9836,0.51527,-0.07475,4.06203,0.36953,174.901,174.4836,-0.41741,174.96214,26.50451,82.6266,16323.90625,16038.55078,281.98883,16323.89258,26.5,83,0.11765
83.27927,1496.6637,7.31447,0,11.21568,16.71568,3.80341,156.05188,155.58852,200.40398,200.39697,179.5813,230.62079,230.61273,0.32153,159.94603,1.00774,0.06309,-0.00131,3.54605,-0.10563,174.98619,0.521,-0.07472,4.06765,0.36762,174.90329,174.4859,-0.41739,174.96327,26.50443,82.62661,16324.18457,16038.50977,282.30795,16324.1709,26.5,83,0.11765
83.39394,1496.77844,7.42915,0,11.21572,16.71572,3.80344,156.03563,155.57339,200.3857,200.37843,179.56261,230.59975,230.59138,0.3215,162.89931,1.00751,0.06332,-0.00132,3.54593,-0.10584,174.9894,0.5281,-0.07473,4.07462,0.36497,174.90614,174.48877,-0.41738,174.96463,26.50432,82.62662,16324.53906,16037.90039,283.27158,16324.52539,26.5,83,0.11765
83.52933,1496.90881,7.55959,0,11.21575,16.71575,3.80347,156.01729,155.55649,200.36528,200.35768,179.54149,230.57625,230.5675,0.32147,166.18759,1.00724,0.06359,-0.00133,3.54579,-0.10602,174.99301,0.536,-0.07476,4.08239,0.36165,174.90936,174.492,-0.41736,174.96608,26.5042,82.62663,16324.94824,16037.20703,284.37329,16324.93457,26.5,83,0.11765
83.6251,1497.00464,7.65536,0,11.21578,16.71578,3.8035,156.00388,155.54428,200.35054,200.34274,179.52606,230.55928,230.55032,0.32145,168.56636,1.00705,0.06378,-0.00133,3.54568,-0.10609,174.99562,0.5417,-0.0748,4.08798,0.35907,174.91174,174.4944,-0.41734,174.96703,26.50411,82.62664,16325.25195,16036.70215,285.18225,16325.23828,26.5,83,0.11765
83.74018,1497.11975,7.77044,0,11.21581,16.71581,3.80353,155.98782,155.52975,200.33305,200.32506,179.50758,230.53917,230.52997,0.32142,171.37079,1.00682,0.064,-0.00133,3.54556,-0.10613,174.99875,0.54842,-0.07485,4.09458,0.35585,174.91463,174.4973,-0.41733,174.96808,26.50401,82.62665,16325.62207,16036.09961,286.15427,16325.6084,26.5,83,0.11765
83.85076,1497.23035,7.88103,0,11.21584,16.71584,3.80356,155.97261,155.51598,200.31648,200.30829,179.49008,230.5201,230.51067,0.32139,174.01186,1.00661,0.06421,-0.00133,3.54545,-0.10614,175.00171,0.55476,-0.0749,4.10079,0.35272,174.91737,174.50006,-0.41731,174.96899,26.5039,82.62666,16325.98145,16035.52441,287.08826,16325.9668,26.5,83,0.11765
83.9697,1497.34924,7.99996,0,11.21587,16.71587,3.8036,155.95641,155.50139,200.29897,200.29082,179.47144,230.49994,230.49057,0.32136,176.79897,1.00638,0.06444,-0.00133,3.54533,-0.10605,175.00485,0.56144,-0.07495,4.10735,0.34939,174.92041,174.50311,-0.41729,174.96989,26.50379,82.62667,16326.37207,16034.91113,288.09283,16326.3584,26.5,83,0.11765
84.05119,1497.43066,8.08146,0,11.2159,16.7159,3.80362,155.94525,155.49159,200.28708,200.28093,179.4586,230.48625,230.47919,0.32134,178.69286,1.00629,0.06459,-0.00132,3.54523,-0.10599,175.00699,0.56594,-0.07497,4.11175,0.34717,174.92245,174.50517,-0.41728,174.97047,26.50372,82.62668,16326.64258,16034.49512,288.78116,16326.62891,26.5,83,0.11765
84.14327,1497.52283,8.17354,0,11.21592,16.71592,3.80365,155.93297,155.48041,200.27385,200.26505,179.44446,230.47104,230.46091,0.32132,180.76727,1.00607,0.06476,-0.00132,3.54511,-0.1059,175.00938,0.57096,-0.07499,4.11664,0.3448,174.92479,174.50752,-0.41727,174.97113,26.50363,82.62669,16326.95117,16034.02539,289.55887,16326.9375,26.5,83,0.11765
